CategorieSocioPro;Demande;Raison;Index
Employés administratifs d'entreprise;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;3
Employés administratifs d'entreprise;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;4
Employés administratifs d'entreprise;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;5
Employés administratifs d'entreprise;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;6
Employés administratifs d'entreprise;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;7
Employés administratifs d'entreprise;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;8
Employés administratifs d'entreprise;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;9
Employés administratifs d'entreprise;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;10
Employés administratifs d'entreprise;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;11
Employés administratifs d'entreprise;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;12
Employés administratifs d'entreprise;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;13
Employés administratifs d'entreprise;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;14
Employés administratifs d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;15
Employés administratifs d'entreprise;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;16
Employés administratifs d'entreprise;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;17
Employés administratifs d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;18
Employés administratifs d'entreprise;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;19
Employés administratifs d'entreprise;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;20
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;21
Employés administratifs d'entreprise;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;22
Employés administratifs d'entreprise;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;23
Employés administratifs d'entreprise;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;24
Employés administratifs d'entreprise;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;25
Employés administratifs d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;26
Employés administratifs d'entreprise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;27
Employés administratifs d'entreprise;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;28
Employés administratifs d'entreprise;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;29
Employés administratifs d'entreprise;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;30
Employés administratifs d'entreprise;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;31
Employés administratifs d'entreprise;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;32
Employés administratifs d'entreprise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;33
Employés administratifs d'entreprise;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;34
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;35
Employés administratifs d'entreprise;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;36
Employés administratifs d'entreprise;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;37
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;38
Employés administratifs d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;39
Employés administratifs d'entreprise;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;40
Employés administratifs d'entreprise;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;41
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;42
Employés administratifs d'entreprise;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;43
Employés administratifs d'entreprise;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;44
Employés administratifs d'entreprise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;45
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;46
Employés administratifs d'entreprise;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;47
Employés administratifs d'entreprise;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;48
Employés administratifs d'entreprise;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;49
Employés administratifs d'entreprise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;50
Employés administratifs d'entreprise;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;51
Employés administratifs d'entreprise;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;52
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;53
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;54
Employés administratifs d'entreprise;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;55
Employés administratifs d'entreprise;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;56
Employés administratifs d'entreprise;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;57
Employés administratifs d'entreprise;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;58
Employés administratifs d'entreprise;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;59
Employés administratifs d'entreprise;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;60
Employés administratifs d'entreprise;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;61
Employés administratifs d'entreprise;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;62
Employés administratifs d'entreprise;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;63
Employés administratifs d'entreprise;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;64
Employés administratifs d'entreprise;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;65
Employés administratifs d'entreprise;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;66
Employés administratifs d'entreprise;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;67
Employés administratifs d'entreprise;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;68
Employés administratifs d'entreprise;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;69
Employés administratifs d'entreprise;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;70
Employés administratifs d'entreprise;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;71
Employés administratifs d'entreprise;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;72
Employés administratifs d'entreprise;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;73
Employés administratifs d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;74
Employés administratifs d'entreprise;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;75
Employés administratifs d'entreprise;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;76
Employés administratifs d'entreprise;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;77
Employés administratifs d'entreprise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;78
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;79
Employés administratifs d'entreprise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;80
Employés administratifs d'entreprise;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;81
Employés administratifs d'entreprise;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;82
Employés administratifs d'entreprise;Réduction des taxes agricoles;Les coûts de production sont trop élevés et les marges trop faibles pour survivre.;83
Employés administratifs d'entreprise;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;84
Employés administratifs d'entreprise;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;85
Employés administratifs d'entreprise;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;86
Employés administratifs d'entreprise;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;87
Employés administratifs d'entreprise;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;88
Employés administratifs d'entreprise;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;89
Employés administratifs d'entreprise;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;90
Employés administratifs d'entreprise;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;91
Employés administratifs d'entreprise;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;92
Employés administratifs d'entreprise;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;93
Employés administratifs d'entreprise;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;94
Employés administratifs d'entreprise;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;95
Employés administratifs d'entreprise;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;96
Employés administratifs d'entreprise;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;97
Employés administratifs d'entreprise;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;98
Employés administratifs d'entreprise;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;99
Employés administratifs d'entreprise;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;100
Employés administratifs d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;101
Employés administratifs d'entreprise;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;102
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;103
Employés administratifs d'entreprise;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;104
Employés administratifs d'entreprise;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;105
Employés administratifs d'entreprise;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;106
Employés administratifs d'entreprise;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;107
Employés administratifs d'entreprise;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;108
Employés administratifs d'entreprise;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;109
Employés administratifs d'entreprise;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;110
Employés administratifs d'entreprise;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;111
Employés administratifs d'entreprise;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;112
Employés administratifs d'entreprise;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;113
Employés administratifs d'entreprise;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;114
Employés administratifs d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;115
Employés administratifs d'entreprise;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;116
Employés administratifs d'entreprise;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;117
Employés administratifs d'entreprise;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;118
Employés administratifs d'entreprise;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;119
Employés administratifs d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;120
Employés administratifs d'entreprise;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;121
Employés administratifs d'entreprise;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;122
Employés administratifs d'entreprise;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;123
Employés administratifs d'entreprise;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;124
Employés administratifs d'entreprise;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;125
Employés administratifs d'entreprise;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;126
Employés administratifs d'entreprise;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;127
Employés administratifs d'entreprise;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;128
Employés administratifs d'entreprise;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;129
Employés administratifs d'entreprise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;130
Employés administratifs d'entreprise;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;131
Employés administratifs d'entreprise;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;132
Employés administratifs d'entreprise;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;133
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;134
Employés administratifs d'entreprise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;135
Employés administratifs d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;136
Employés administratifs d'entreprise;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;137
Employés administratifs d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;138
Employés administratifs d'entreprise;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;139
Employés administratifs d'entreprise;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;140
Employés administratifs d'entreprise;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;141
Employés administratifs d'entreprise;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;142
Employés administratifs d'entreprise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;143
Employés administratifs d'entreprise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;144
Employés administratifs d'entreprise;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;145
Employés administratifs d'entreprise;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;146
Employés administratifs d'entreprise;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;147
Employés administratifs d'entreprise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;148
Employés administratifs d'entreprise;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;149
Employés administratifs d'entreprise;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;150
Employés de commerce;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;1
Employés de commerce;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;2
Employés de commerce;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;3
Employés de commerce;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;4
Employés de commerce;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;5
Employés de commerce;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;6
Employés de commerce;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;7
Employés de commerce;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;8
Employés de commerce;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;9
Employés de commerce;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;10
Employés de commerce;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;11
Employés de commerce;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;12
Employés de commerce;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;13
Employés de commerce;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;14
Employés de commerce;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;15
Employés de commerce;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;16
Employés de commerce;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;17
Employés de commerce;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;18
Employés de commerce;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;19
Employés de commerce;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;20
Employés de commerce;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;21
Employés de commerce;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;22
Employés de commerce;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;23
Employés de commerce;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;24
Employés de commerce;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;25
Employés de commerce;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;26
Employés de commerce;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;27
Employés de commerce;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;28
Employés de commerce;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;29
Employés de commerce;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;30
Employés de commerce;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;31
Employés de commerce;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;32
Employés de commerce;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;33
Employés de commerce;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;34
Employés de commerce;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;35
Employés de commerce;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;36
Employés de commerce;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;37
Employés de commerce;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;38
Employés de commerce;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;39
Employés de commerce;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;40
Employés de commerce;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;41
Employés de commerce;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;42
Employés de commerce;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;43
Employés de commerce;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;44
Employés de commerce;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;45
Employés de commerce;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;46
Employés de commerce;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;47
Employés de commerce;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;48
Employés de commerce;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;49
Employés de commerce;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;50
Personnels des services directs aux particuliers;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;1
Personnels des services directs aux particuliers;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;2
Personnels des services directs aux particuliers;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;3
Personnels des services directs aux particuliers;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;4
Personnels des services directs aux particuliers;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;5
Personnels des services directs aux particuliers;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;6
Personnels des services directs aux particuliers;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;7
Personnels des services directs aux particuliers;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;8
Personnels des services directs aux particuliers;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;9
Personnels des services directs aux particuliers;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;10
Personnels des services directs aux particuliers;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;11
Personnels des services directs aux particuliers;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;12
Personnels des services directs aux particuliers;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;13
Personnels des services directs aux particuliers;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;14
Personnels des services directs aux particuliers;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;15
Personnels des services directs aux particuliers;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;16
Personnels des services directs aux particuliers;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;17
Personnels des services directs aux particuliers;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;18
Personnels des services directs aux particuliers;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;19
Personnels des services directs aux particuliers;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;20
Ouvriers qualifiés;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;1
Ouvriers qualifiés;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;2
